corrida,gen,best_gap,best_g6,n,evento,epoch
0,0,0.4450576898,bsaCCA?_C?O?_?_?O?C??_?A??C????????@???O??A???G???O???O???G???A????O???@????A????A????@?????O?C??A???,35,contraejemplo,1783308052
1,0,0.5471784625,asaCCA?_C?O?_?_?O?C???????G??O??O??G??A???O??@???A???A???@????O???A????G????O????O????G??_?A???,34,contraejemplo,1783308052
2,0,0.2364375319,XsaCCA?_C????@?@??_?G?@??C??G??G??C??@???G???_?_@??,25,contraejemplo,1783308053
3,0,0.6295049979,gsaCCA?_C?O?_?_?O?C??_?A??C??C??A??????????_??A???C???C???A????_???C????O????_????_????O????C?????_????A?????C?????C?????A??C???_??,40,contraejemplo,1783308053
4,0,0.5337486239,`saCCA?_C?O?_?_?O?C???????G??O??O??G??A???O??@???A???A???@????O???A????G????O????O?A??G??,33,contraejemplo,1783308054
5,0,0.5471784625,asaCCA?_C?O?_?_?O?C??_???????G??G??C??@???G???_??@???@????_???G???@????C????G????G????C??_?@???,34,contraejemplo,1783308054
6,0,0.3024139820,ZsaCCA?_C?O?????_?O?C??_?A??C??C??A???_??C???O???_???_?O?O??,27,contraejemplo,1783308054
7,0,0.2621021732,\saCCA?_C?O?????_?O?C??_?A??C??C??A???_??C???O???_???_???O???C??_?_??,29,contraejemplo,1783308055
8,0,0.5938436748,dsaCCA?_C?O?_?_?O?C??_???????G??G??C??@???G???_??@???@????_???G???@????C????G????G????C????@?????G?????_??_?@???,37,contraejemplo,1783308055
9,0,0.6295049979,gsaCCA?_C?O?_?_?O?C??_?A????????C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O??C??C???,40,contraejemplo,1783308056
10,0,0.4838201540,`saCCA?_C?O?_?_?O?C??_???????G??G??C??@???G???_??@???@????_???G???@????C????G????G?A??C??,33,contraejemplo,1783308056
11,0,0.4838201540,`saCCA?_C?O?_?_?O?C??_???????G??G??C??@???G???_??@???@????_???G???@????C????G????G?A??C??,33,contraejemplo,1783308056
12,0,0.6535375429,esaCCA?_C?O?_?_?O?C??_?A????????C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O?????_??_??_???,38,contraejemplo,1783308057
13,0,0.4450576898,bsaCCA?_C?O?_?_?O??????C??O??_??_??O??C???_??A???C???C???A????_???C????O????_????_????O????C??C??_???,35,contraejemplo,1783308057
14,0,0.6922780480,fsaCCA?_C?O?_?_?O?C??_?A??C????????@???O??A???G???O???O???G???A????O???@????A????A????@?????O????A?????G?????O?????O??O??G???,39,contraejemplo,1783308058
15,0,0.4567311695,fsaCCA?_C?O?_?_?O?C???????G??O??O??G??A???O??@???A???A???@????O???A????G????O????O????G????A?????O????@?????A?????A???O?@????,39,contraejemplo,1783308058
16,0,0.2553387832,fsaCCA?_C?O?_?_?????@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@????@?????_????G????@?????C?????G?????G???O?C????,39,contraejemplo,1783308058
17,0,0.4450576898,bsaCCA?_C?O?_?_?O?C??_?A??C????????@???O??A???G???O???O???G???A????O???@????A????A????@?????O?C??A???,35,contraejemplo,1783308059
18,0,0.3024139820,ZsaCCA?_C?O?_?_?????@??G??_?@??@???_??G??@???C???G???G?O?C??,27,contraejemplo,1783308059
19,0,0.6462048929,fsaCCA?_C?O?_?_?O?C??_?A??C??C?????????G??@???C???G???G???C???@????G????_???@????@?????_????G????@?????C?????G?????G??O??C???,39,contraejemplo,1783308060
