corrida,gen,best_gap,best_g6,n,evento,epoch
0,0,0.2387709036,]saCCA?_C?O?????_?O?C??_?A??C??C??A???_??C???O???_???_???O???C????_?A?A???,30,contraejemplo,1783364387
1,0,0.6411010565,dsaCCA?_C?O?_?_?O?C??_?A????????C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C?????O??_??_??,37,contraejemplo,1783364387
2,0,0.3407094003,bsaCCA?_C?O?_?_?????@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@????@?????_????G??C?@????,35,contraejemplo,1783364387
3,0,0.5015482688,dsaCCA?_C?O?_?_?O?C???????G??O??O??G??A???O??@???A???A???@????O???A????G????O????O????G????A?????O????@???_?A???,37,contraejemplo,1783364387
4,0,0.3654086902,\saCCA?_C?O?_?_?O??????C??O??_??_??O??C???_??A???C???C???A????_?_?C??,29,contraejemplo,1783364387
5,0,0.6012177936,csaCCA?_C?O?_?_?O?C??_?A????????C??A???_??C???O???_???_???O???C????_???A????C????C????A?????_????C??O??O??,36,contraejemplo,1783364387
6,0,0.3864833081,`saCCA?_C?O?_?_?O?C??_?A????????C??A???_??C???O???_???_???O???C????_???A????C????C?A??A??,33,contraejemplo,1783364387
7,0,0.5561531621,fsaCCA?_C?O?_?_?O?C??_?A??C??C??A??????????_??A???C???C???A????_???C????O????_????_????O????C?????_????A?????C?????C??O??A???,39,contraejemplo,1783364387
8,0,0.5340976170,gsaCCA?_C?O?_?_?O?C??_???????G??G??C??@???G???_??@???@????_???G???@????C????G????G????C????@?????G?????_????@?????@??????_??C??G???,40,contraejemplo,1783364387
9,0,0.4663883119,asaCCA?_C?O?_?_?O??????C??O??_??_??O??C???_??A???C???C???A????_???C????O????_????_????O??_?C???,34,contraejemplo,1783364387
10,0,0.4663883119,asaCCA?_C?O?_?_?O?C??_?A????????C??A???_??C???O???_???_???O???C????_???A????C????C????A??_??_??,34,contraejemplo,1783364387
11,0,0.4912420719,_saCCA?_C?O?_?_?O??????C??O??_??_??O??C???_??A???C???C???A????_???C????O????_?C??_??,32,contraejemplo,1783364387
12,0,0.3024880056,_saCCA?_C?O?_?????G?A??O?@??A??A??@???O??A???G???O???O???G???A????O???@????A??C?A???,32,contraejemplo,1783364387
13,0,0.3348277133,gsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???O???????????_???O???C????_???A????C????C????A?????_????C?????O?????_?????_?????O?C???C??,40,contraejemplo,1783364387
14,0,0.4567311695,fsaCCA?_C?O?_?_?O?C??_?A??C??C??A???_?????????@???A???A???@????O???A????G????O????O????G????A?????O????@?????A?????A??O??@???,39,contraejemplo,1783364387
15,0,0.5225873639,csaCCA?_C?O?_?_?O?C???????G??O??O??G??A???O??@???A???A???@????O???A????G????O????O????G????A?????O??O?@???,36,contraejemplo,1783364387
16,0,0.4663883119,asaCCA?_C?O?_?_?O??????C??O??_??_??O??C???_??A???C???C???A????_???C????O????_????_????O??_?C???,34,contraejemplo,1783364387
17,0,0.5561531621,fsaCCA?_C?O?_?_?O?C??_???????G??G??C??@???G???_??@???@????_???G???@????C????G????G????C????@?????G?????_????@?????@???O??_???,39,contraejemplo,1783364387
18,0,0.5938436748,dsaCCA?_C?O?_?_?O?C??_?A??C????????@???O??A???G???O???O???G???A????O???@????A????A????@?????O????A?????G??_??O??,37,contraejemplo,1783364387
19,0,0.6462048929,fsaCCA?_C?O?_?_?O?C??_?A??C??C?????????G??@???C???G???G???C???@????G????_???@????@?????_????G????@?????C?????G?????G??O??C???,39,contraejemplo,1783364387
