corrida,gen,best_gap,best_g6,n,evento,epoch
0,0,-1.8968539235,L?GC`GBGA@?@?_,13,gen,1783364512
0,1,-1.8968539235,L?GC`GBGA@?@?_,13,gen,1783364512
0,2,-1.7957015373,M?GC`GBGA@?@?_G??,14,gen,1783364512
0,3,-1.7957015373,M?GC`GBGA@?@?_G??,14,gen,1783364512
0,4,-1.6239619140,N?GC_GBGA@?@?_G?CG?,15,gen,1783364512
0,5,-1.2089330550,I_?oGo@P?,10,gen,1783364512
0,6,-1.1115047583,J_?oGo@P?A?,11,gen,1783364512
0,7,-1.0945173669,K_?oGo@P?A?_,12,gen,1783364512
0,8,-0.9740038578,K_?oGo@P?AG?,12,gen,1783364512
0,9,-0.9740038578,K_?oGo@P?AG?,12,gen,1783364512
0,10,-0.9740038578,K_?oGo@P?AG?,12,gen,1783364512
0,11,-0.9606427511,L_?oGo@P?AG?@?,13,gen,1783364512
0,12,-0.9606427511,L_?oGo@P?AG?@?,13,gen,1783364512
0,13,-0.9300685558,L_?oGo@P?AG??O,13,gen,1783364512
0,14,-0.9300685558,L_?oGo@P?AG??O,13,gen,1783364512
0,15,-0.8439384673,M_?oGo@PA??_?OO??,14,gen,1783364512
0,16,-0.7577384610,N_?oGo@P?AG?@??OG??,15,gen,1783364512
0,17,-0.7577384610,N_?oGo@P?AG?@??OG??,15,gen,1783364512
0,18,-0.7577384610,N_?oGo@P?AG?@??OG??,15,gen,1783364512
0,19,-0.7577384610,N_?oGo@P?AG?@??OG??,15,gen,1783364512
0,20,-0.6596464259,O_?oGo@P?AG?@??OG?A??,16,gen,1783364512
0,21,-0.6596464259,O_?oGo@P?AG?@?O??GA??,16,gen,1783364512
0,22,-0.6080524795,P_?oGo@P?AG?@??OG?A???O?,17,gen,1783364512
0,23,-0.6080524795,P_?oGo@P?AG?@??OG?A???O?,17,gen,1783364512
0,24,-0.6080524795,P_?oGo@P?AG?@??OG?A???O?,17,gen,1783364512
0,25,-0.6080524795,P_?oGo@P?AG?@?O??G?A?O??,17,gen,1783364512
0,26,-0.6080524795,P_?oGO@P?AG?@??OGGA???O?,17,gen,1783364512
0,27,-0.5226456854,Q_?oGo@P?AG?@??OG?A???O@???,18,gen,1783364512
0,28,-0.5226456854,Q_?oGo@P?AG?@??OG?A???O@???,18,gen,1783364512
0,29,-0.5226456854,Q_?oGo@P?AG?@??OG?A???O@???,18,gen,1783364512
0,30,-0.5226456854,Q_?oGo@@AAG?@?O??GA??O??C??,18,gen,1783364512
0,31,-0.5226456854,Q_?oGo@@AAG?@?O??GA??O??C??,18,gen,1783364512
0,32,-0.4802646661,R_?oGo@P?AG?@??OG?A??O??C??A??,19,gen,1783364512
0,33,-0.4802646661,R_?oGo@P?AG?@??OG?A??O??C??A??,19,gen,1783364512
