corrida,gen,best_gap,best_g6,n,evento,epoch
0,0,-1.1645686094,J?KG?F??OR?,11,gen,1783308142
0,1,-1.1645686094,J?KG?F??OR?,11,gen,1783308142
0,2,-1.1645686094,J?KG?F??OR?,11,gen,1783308142
0,3,-1.1645686094,J?KG?F??OR?,11,gen,1783308143
0,4,-1.1328649524,K?KG?F??OR@?,12,gen,1783308143
0,5,-1.0775453806,K?KG?F??OR?C,12,gen,1783308143
0,6,-1.0287521197,L?KG?F??OR@??G,13,gen,1783308143
0,7,-1.0287521197,L?KG?F??OR@??G,13,gen,1783308143
0,8,-1.0287521197,L?KG?F??OR@??G,13,gen,1783308143
0,9,-1.0287521197,L?KG?F??OR@??G,13,gen,1783308143
0,10,-0.9270784966,M?KG?F??OR@??G?O?,14,gen,1783308143
0,11,-0.9270784966,M?KG?F??OR@??G?O?,14,gen,1783308143
0,12,-0.9270784966,M?KG?F??OR@??G?O?,14,gen,1783308143
0,13,-0.8031699072,M?KGCF??OP@??G?O?,14,gen,1783308143
0,14,-0.8031699072,M?KGCF??OP@??G?O?,14,gen,1783308144
0,15,-0.8031699072,M?KGCF??OP@??G?O?,14,gen,1783308144
0,16,-0.7078323560,N?[G?F??OB@??O?O?C?,15,gen,1783308144
0,17,-0.7078323560,N?[G?F??OB@??O?O?C?,15,gen,1783308144
0,18,-0.6596464259,O?KGCF??OP@??G?O?C?A?,16,gen,1783308144
0,19,-0.6596464259,O?KGCF??OP@??G?O?C?A?,16,gen,1783308144
0,20,-0.6596464259,O?KGCF??OP@??G?O?C?A?,16,gen,1783308144
0,21,-0.6596464259,O?KGCF??OP@??G?O?C?A?,16,gen,1783308144
0,22,-0.6080524795,P?KGCF??OP@??G?O?C?A??O?,17,gen,1783308144
0,23,-0.6080524795,P?KGCF??OP@??G?O?C?A??O?,17,gen,1783308144
0,24,-0.6080524795,P?KGCF??OP@??G?O?C?A?A??,17,gen,1783308144
0,25,-0.5226456854,Q?KGCF??GP@??O?O?G?A?A???_?,18,gen,1783308145
0,26,-0.5226456854,Q?KGCF??GP@??O?O?G?A?A???_?,18,gen,1783308145
0,27,-0.5226456854,Q?KGCF??GP@??O?O?G?A?A???_?,18,gen,1783308145
0,28,-0.5226456854,Q?KGCF??GP@??O?O?G?A?A???_?,18,gen,1783308145
0,29,-0.5226456854,Q?KGCF??GP@??O?O?G?A?A???_?,18,gen,1783308145
0,30,-0.4802646661,R?KGCF??OP@??G?O?C?A??O??_?O??,19,gen,1783308145
0,31,-0.4802646661,R?KGCF??OP@??G?O?C?A??O??_?O??,19,gen,1783308145
0,32,-0.4802646661,R?KGCF??OP@??G?O?C?A??O??_?O??,19,gen,1783308145
0,33,-0.4802646661,R?KGCF??GP@??O?O?G?A?A???_?@??,19,gen,1783308146
0,34,-0.4802646661,R?KGCF??GP@??O?O?G?A?A???_?@??,19,gen,1783308146
0,35,-0.4802646661,R?KGCF??OP@??G?O?C?A??O?G??@??,19,gen,1783308146
0,36,-0.4342959540,S?KGCF??GP@??O?O?G?A?A???_?@??A??,20,gen,1783308146
0,37,-0.4342959540,S?KGCF??GP@??O?O?G?A?A???_?@??A??,20,gen,1783308146
0,38,-0.4342959540,S?KGCF??GP@??O?O?G?A?A???_?@??A??,20,gen,1783308146
0,39,-0.4342959540,S?KGCF??GP@??O?O?G?A?A???_?@??A??,20,gen,1783308146
0,40,-0.4342959540,S?KGCF??GP@??O?O?G?A?A???_?@??A??,20,gen,1783308147
0,41,-0.4342959540,S?KGCF??GP@??O?O?G?A?A???_?@??A??,20,gen,1783308147
0,42,-0.3562911697,T?KGCF??OP@??G?O?C?A??O??_?O??O??@??,21,gen,1783308147
0,43,-0.3562911697,T?KGCF??OP@??G?O?C?A??O??_?O??O??@??,21,gen,1783308147
