corrida,gen,best_gap,best_g6,n,evento,epoch
0,0,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,contraejemplo,1783380718
0,1,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,2,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,3,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,4,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,5,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,6,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,7,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,8,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,9,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,10,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,11,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,12,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,13,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,14,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,15,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,16,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,17,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,18,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,19,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,20,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,21,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,22,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,23,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,24,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,25,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,26,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,27,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,28,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,29,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
0,30,0.2263141447,VsaCCA?_C????@?@??_?G?@??C??G??G??C??@?C?G??,23,gen,1783380718
