g6,n,lam1,mu,gap1,lam2,hc,gap2,pi,diam,k,delta_k,gap3
Bw,3,1.9999999999999998,1,-0.5857864376269051,-1.0,1.5,-2.5,1.0,1,0,-1.0000000000000004,4.440892098500626e-16
I~~~~~~~w,10,8.999999999999996,5,-9.999999999999996,-0.9999999999999996,5.0,-6.0,1.0,1,0,-1.000000000000001,1.1102230246251565e-15
Ds_,5,2.0,1,0.0,0.0,1.6,-1.6,1.0,2,1,6.605551275463986,-7.605551275463986
IsaCCA?_?,10,3.0,1,0.0,0.0,1.8,-1.8,1.0,2,1,16.544003745317525,-17.544003745317525
Ch,4,1.6180339887498951,2,-0.8859831811810177,0.6180339887498949,1.8333333333333333,-1.2152993445834384,1.3333333333333333,3,2,-0.5857864376269057,-0.7475468957064275
Dhc,5,2.0,2,-1.0,0.6180339887498949,2.5,-1.881966011250105,1.5,2,1,6.0,-7.5
EhEG,6,2.0000000000000004,3,-1.7639320225002102,1.0,3.0,-2.0,1.8,3,2,2.1782964529044717e-16,-1.8000000000000003
D]o,5,2.449489742783178,2,-1.4494897427831779,4.440892098500626e-16,2.4000000000000004,-2.4,1.25,2,1,5.645751311064588,-6.895751311064588
EFz_,6,3.000000000000001,3,-2.763932022500211,2.19729312224151e-16,3.0,-3.0,1.4,2,1,7.000000000000002,-8.400000000000002
IheA@GUAo,10,3.0,5,-4.0,1.0000000000000002,5.0,-4.0,1.6666666666666667,2,1,15.000000000000004,-16.66666666666667
Bo,3,1.4142135623730951,1,0.0,0.0,1.3333333333333333,-1.3333333333333333,1.0,2,1,2.7320508075688767,-3.7320508075688767
Cs,4,1.7320508075688772,1,0.0,0.0,1.5,-1.5,1.0,2,1,4.645751311064591,-5.645751311064591
Esa?,6,2.23606797749979,1,0.0,0.0,1.6666666666666665,-1.6666666666666665,1.0,2,1,8.582575694955835,-9.582575694955835
FsaC?,7,2.449489742783178,1,0.0,0.0,1.7142857142857142,-1.7142857142857142,1.0,2,1,10.567764362830022,-11.567764362830022
